elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.002038,building index: loading tuples in memory,1852,1,0,34,190537728
0.167092,building index: loading tuples in memory,1852,63,0,1708,189857792
0.333363,building index: loading tuples in memory,1852,117,0,3183,191299584
0.496755,building index: loading tuples in memory,1852,170,0,4610,192638976
0.674084,building index: loading tuples in memory,1852,220,0,5965,193806336
0.83695,building index: loading tuples in memory,1852,267,0,7223,195538944
1.000443,building index: loading tuples in memory,1852,313,0,8476,196403200
1.164574,building index: loading tuples in memory,1852,358,0,9684,195747840
1.332488,building index: loading tuples in memory,1852,406,0,10968,198721536
1.502098,building index: loading tuples in memory,1852,450,0,12168,199790592
1.671556,building index: loading tuples in memory,1852,496,0,13404,200699904
1.846947,building index: loading tuples in memory,1852,542,0,14652,202293248
2.01636,building index: loading tuples in memory,1852,585,0,15799,203235328
2.190036,building index: loading tuples in memory,1852,629,0,16986,205197312
2.363278,building index: loading tuples in memory,1852,668,0,18052,206290944
2.535339,building index: loading tuples in memory,1852,710,0,19175,206696448
2.713144,building index: loading tuples in memory,1852,753,0,20350,208355328
2.883989,building index: loading tuples in memory,1852,792,0,21408,209182720
3.058622,building index: loading tuples in memory,1852,833,0,22503,210096128
3.232179,building index: loading tuples in memory,1852,873,0,23572,211161088
3.403988,building index: loading tuples in memory,1852,912,0,24639,211402752
3.579751,building index: loading tuples in memory,1852,952,0,25714,212992000
3.74562,building index: loading tuples in memory,1852,988,0,26686,213897216
3.916432,building index: loading tuples in memory,1852,1026,0,27716,214712320
4.083796,building index: loading tuples in memory,1852,1061,0,28669,215732224
4.250468,building index: loading tuples in memory,1852,1098,0,29648,216928256
4.42407,building index: loading tuples in memory,1852,1137,0,30707,110940160
4.609764,building index: loading tuples in memory,1852,1173,0,31679,111517696
4.779704,building index: loading tuples in memory,1852,1207,0,32592,111316992
4.951959,building index: loading tuples in memory,1852,1242,0,33536,113090560
5.130365,building index: loading tuples in memory,1852,1276,0,34477,114688000
5.306275,building index: loading tuples in memory,1852,1311,0,35412,115515392
5.476916,building index: loading tuples in memory,1852,1345,0,36332,117198848
5.648857,building index: loading tuples in memory,1852,1380,0,37263,118419456
5.817097,building index: loading tuples in memory,1852,1413,0,38160,118714368
5.983767,building index: loading tuples in memory,1852,1447,0,39079,118751232
6.150457,building index: loading tuples in memory,1852,1480,0,39960,119570432
6.314202,building index: loading tuples in memory,1852,1513,0,40851,121475072
6.488863,building index: loading tuples in memory,1852,1548,0,41799,121495552
6.65686,building index: loading tuples in memory,1852,1580,0,42678,122867712
6.829317,building index: loading tuples in memory,1852,1615,0,43618,123625472
7.014043,building index: loading tuples in memory,1852,1650,0,44572,123985920
7.183536,building index: loading tuples in memory,1852,1683,0,45442,125042688
7.357225,building index: loading tuples in memory,1852,1716,0,46343,125997056
7.534501,building index: loading tuples in memory,1852,1750,0,47255,126693376
7.710323,building index: loading tuples in memory,1852,1782,0,48118,128114688
7.883785,building index: loading tuples in memory,1852,1815,0,49025,128913408
8.056857,building index: loading tuples in memory,1852,1846,0,49852,129216512
