elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.002041,building index: loading tuples in memory,1852,1,0,34,175439872
0.168503,building index: loading tuples in memory,1852,62,0,1695,175546368
0.327283,building index: loading tuples in memory,1852,114,0,3093,176549888
0.489789,building index: loading tuples in memory,1852,164,0,4436,178442240
0.657877,building index: loading tuples in memory,1852,215,0,5807,179019776
0.825105,building index: loading tuples in memory,1852,261,0,7073,181133312
0.989314,building index: loading tuples in memory,1852,308,0,8319,181514240
1.159946,building index: loading tuples on disk,1852,328,0,8880,185139200
1.336194,building index: loading tuples on disk,1852,340,0,9202,185430016
1.503974,building index: loading tuples on disk,1852,352,0,9519,186085376
1.679011,building index: loading tuples on disk,1852,363,0,9824,186658816
1.847251,building index: loading tuples on disk,1852,374,0,10120,187531264
2.016442,building index: loading tuples on disk,1852,386,0,10426,186941440
2.18053,building index: loading tuples on disk,1852,397,0,10731,187633664
2.350255,building index: loading tuples on disk,1852,408,0,11030,188182528
2.524507,building index: loading tuples on disk,1852,419,0,11330,188284928
2.693334,building index: loading tuples on disk,1852,431,0,11637,188813312
2.864852,building index: loading tuples on disk,1852,441,0,11931,188383232
3.030589,building index: loading tuples on disk,1852,452,0,12222,189263872
3.203224,building index: loading tuples on disk,1852,464,0,12537,189452288
3.374537,building index: loading tuples on disk,1852,475,0,12826,189878272
3.540703,building index: loading tuples on disk,1852,485,0,13118,190275584
3.710828,building index: loading tuples on disk,1852,496,0,13406,191012864
3.874499,building index: loading tuples on disk,1852,504,0,13625,190255104
4.041201,building index: loading tuples on disk,1852,515,0,13905,191311872
4.208533,building index: loading tuples on disk,1852,525,0,14193,191180800
4.378124,building index: loading tuples on disk,1852,536,0,14478,191758336
4.552058,building index: loading tuples on disk,1852,547,0,14771,192102400
4.717766,building index: loading tuples on disk,1852,557,0,15046,193622016
4.88102,building index: loading tuples on disk,1852,567,0,15315,192823296
5.052482,building index: loading tuples on disk,1852,577,0,15596,193642496
5.224504,building index: loading tuples on disk,1852,588,0,15893,193101824
5.395198,building index: loading tuples on disk,1852,598,0,16169,193851392
5.566202,building index: loading tuples on disk,1852,609,0,16462,193871872
5.734057,building index: loading tuples on disk,1852,619,0,16736,194265088
5.901671,building index: loading tuples on disk,1852,629,0,17005,194785280
6.073395,building index: loading tuples on disk,1852,640,0,17289,194318336
6.243953,building index: loading tuples on disk,1852,650,0,17576,194686976
6.42355,building index: loading tuples on disk,1852,661,0,17857,195424256
6.604761,building index: loading tuples on disk,1852,671,0,18130,195551232
6.780229,building index: loading tuples on disk,1852,681,0,18400,196366336
6.95056,building index: loading tuples on disk,1852,690,0,18655,196382720
7.125539,building index: loading tuples on disk,1852,701,0,18930,196780032
7.291141,building index: loading tuples on disk,1852,710,0,19184,197120000
7.464609,building index: loading tuples on disk,1852,720,0,19462,198553600
7.636712,building index: loading tuples on disk,1852,730,0,19729,197787648
7.811184,building index: loading tuples on disk,1852,740,0,19991,198701056
7.981935,building index: loading tuples on disk,1852,750,0,20259,199811072
8.154777,building index: loading tuples on disk,1852,760,0,20522,199172096
8.321255,building index: loading tuples on disk,1852,769,0,20764,199081984
8.481291,building index: loading tuples on disk,1852,778,0,21008,199684096
8.651636,building index: loading tuples on disk,1852,787,0,21265,199684096
