elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.091167,building index: loading tuples in memory,741,76,0,2089,178573312
0.208589,building index: loading tuples in memory,741,142,0,3865,178589696
0.324026,building index: loading tuples on disk,741,172,0,4693,184528896
0.445238,building index: loading tuples on disk,741,187,0,5076,185028608
0.562303,building index: loading tuples on disk,741,203,0,5454,185614336
0.676391,building index: loading tuples on disk,741,214,0,5825,185638912
0.788184,building index: loading tuples on disk,741,228,0,6200,186351616
0.901258,building index: loading tuples on disk,741,243,0,6593,189902848
1.023477,building index: loading tuples on disk,741,258,0,6961,186925056
1.136555,building index: loading tuples on disk,741,271,0,7327,187617280
1.256443,building index: loading tuples on disk,741,283,0,7674,187826176
1.371064,building index: loading tuples on disk,741,298,0,8042,188403712
1.492255,building index: loading tuples on disk,741,309,0,8381,188211200
1.617211,building index: loading tuples on disk,741,325,0,8747,189714432
1.746794,building index: loading tuples on disk,741,336,0,9101,190070784
1.864243,building index: loading tuples on disk,741,351,0,9453,189968384
1.983824,building index: loading tuples on disk,741,363,0,9791,190488576
2.100451,building index: loading tuples on disk,741,377,0,10157,191025152
2.232712,building index: loading tuples on disk,741,389,0,10475,191082496
2.36104,building index: loading tuples on disk,741,400,0,10802,191311872
2.527474,building index: loading tuples on disk,741,409,0,11070,191438848
2.658331,building index: loading tuples on disk,741,422,0,11360,192520192
2.788326,building index: loading tuples on disk,741,434,0,11667,192196608
2.90799,building index: loading tuples on disk,741,446,0,12005,194961408
3.037003,building index: loading tuples on disk,741,458,0,12326,192528384
3.163933,building index: loading tuples on disk,741,467,0,12633,193179648
3.289367,building index: loading tuples on disk,741,479,0,12928,193662976
3.410237,building index: loading tuples on disk,741,491,0,13230,194588672
3.526308,building index: loading tuples on disk,741,500,0,13526,195289088
3.647397,building index: loading tuples on disk,741,512,0,13821,194576384
3.774864,building index: loading tuples on disk,741,524,0,14124,195563520
3.888145,building index: loading tuples on disk,741,533,0,14429,195534848
4.005947,building index: loading tuples on disk,741,545,0,14726,196034560
4.128349,building index: loading tuples on disk,741,556,0,15028,196046848
4.24662,building index: loading tuples on disk,741,569,0,15325,197472256
4.366334,building index: loading tuples on disk,741,576,0,15616,196833280
4.484658,building index: loading tuples on disk,741,588,0,15921,197656576
4.606688,building index: loading tuples on disk,741,600,0,16215,197996544
4.728758,building index: loading tuples on disk,741,612,0,16511,196603904
4.855277,building index: loading tuples on disk,741,621,0,16786,198332416
4.97698,building index: loading tuples on disk,741,633,0,17081,199053312
5.107224,building index: loading tuples on disk,741,642,0,17381,199188480
5.228914,building index: loading tuples on disk,741,654,0,17682,200175616
5.356778,building index: loading tuples on disk,741,666,0,17989,199917568
5.486934,building index: loading tuples on disk,741,678,0,18304,200658944
5.613254,building index: loading tuples on disk,741,690,0,18599,199995392
5.733713,building index: loading tuples on disk,741,702,0,18900,201007104
5.860942,building index: loading tuples on disk,741,709,0,19200,201031680
5.991016,building index: loading tuples on disk,741,721,0,19493,201154560
6.10858,building index: loading tuples on disk,741,733,0,19801,201576448
6.230981,building index: writing index pages to WAL,741,741,0,19997,210481152
