elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.103577,building index: loading tuples in memory,741,70,0,1925,144732160
0.242393,building index: loading tuples in memory,741,126,0,3429,143728640
0.364552,building index: loading tuples on disk,741,169,0,4544,147505152
0.493347,building index: loading tuples on disk,741,181,0,4897,148062208
0.629949,building index: loading tuples on disk,741,192,0,5221,151126016
0.758295,building index: loading tuples on disk,741,204,0,5563,150888448
0.885908,building index: loading tuples on disk,741,219,0,5911,151965696
1.005613,building index: loading tuples on disk,741,231,0,6253,151429120
1.130637,building index: loading tuples on disk,741,243,0,6568,151371776
1.259537,building index: loading tuples on disk,741,255,0,6873,152313856
1.390182,building index: loading tuples on disk,741,267,0,7177,152690688
1.536758,building index: loading tuples on disk,741,279,0,7505,153268224
1.663517,building index: loading tuples on disk,741,291,0,7835,153460736
1.786464,building index: loading tuples on disk,741,303,0,8152,153755648
1.907684,building index: loading tuples on disk,741,315,0,8466,153726976
2.033166,building index: loading tuples on disk,741,324,0,8777,154738688
2.157822,building index: loading tuples on disk,741,336,0,9094,155066368
2.28957,building index: loading tuples on disk,741,348,0,9398,155217920
2.41562,building index: loading tuples on disk,741,357,0,9626,156311552
2.595159,building index: loading tuples on disk,741,366,0,9910,155463680
2.738475,building index: loading tuples on disk,741,378,0,10186,153718784
2.872298,building index: loading tuples on disk,741,387,0,10483,156708864
3.005352,building index: loading tuples on disk,741,398,0,10752,154546176
3.14664,building index: loading tuples on disk,741,407,0,11048,156667904
3.283792,building index: loading tuples on disk,741,420,0,11342,157220864
3.417683,building index: loading tuples on disk,741,429,0,11587,158408704
3.588872,building index: loading tuples on disk,741,441,0,11875,156233728
3.762251,building index: loading tuples on disk,741,447,0,12100,157249536
3.964768,building index: loading tuples on disk,741,459,0,12359,157016064
4.104358,building index: loading tuples on disk,741,468,0,12625,156688384
4.248002,building index: loading tuples on disk,741,476,0,12894,159928320
4.391557,building index: loading tuples on disk,741,488,0,13175,158986240
4.528487,building index: loading tuples on disk,741,497,0,13436,160411648
4.665323,building index: loading tuples on disk,741,506,0,13712,160272384
4.80396,building index: loading tuples on disk,741,518,0,13998,159248384
4.94826,building index: loading tuples on disk,741,527,0,14268,165400576
5.088495,building index: loading tuples on disk,741,538,0,14532,161050624
5.232903,building index: loading tuples on disk,741,547,0,14799,161345536
5.363503,building index: loading tuples on disk,741,556,0,15058,161808384
5.496116,building index: loading tuples on disk,741,568,0,15334,162983936
5.626185,building index: loading tuples on disk,741,577,0,15617,160911360
5.76588,building index: loading tuples on disk,741,589,0,15884,163098624
5.898416,building index: loading tuples on disk,741,597,0,16148,162979840
6.033794,building index: loading tuples on disk,741,606,0,16424,164032512
6.173592,building index: loading tuples on disk,741,618,0,16687,164536320
6.310117,building index: loading tuples on disk,741,627,0,16936,163774464
6.454249,building index: loading tuples on disk,741,636,0,17190,164282368
6.593661,building index: loading tuples on disk,741,645,0,17447,162631680
6.751148,building index: loading tuples on disk,741,654,0,17705,165527552
6.894404,building index: loading tuples on disk,741,666,0,17966,164851712
7.029233,building index: loading tuples on disk,741,675,0,18233,164769792
7.164284,building index: loading tuples on disk,741,684,0,18489,165650432
7.304042,building index: loading tuples on disk,741,696,0,18749,165937152
7.442629,building index: loading tuples on disk,741,705,0,19011,164708352
7.591266,building index: loading tuples on disk,741,710,0,19217,166174720
7.774732,building index: loading tuples on disk,741,722,0,19470,165527552
7.916714,building index: loading tuples on disk,741,731,0,19725,167149568
8.055859,building index: loading tuples on disk,741,740,0,19989,165961728
