elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.002218,building index: loading tuples,1852,1,0,33,206397440
0.176321,building index: loading tuples,1852,66,0,1791,205852672
0.351259,building index: loading tuples,1852,122,0,3305,208601088
0.522368,building index: loading tuples,1852,175,0,4725,209760256
0.687346,building index: loading tuples,1852,223,0,6045,212885504
0.860111,building index: loading tuples,1852,274,0,7410,211152896
1.034788,building index: loading tuples,1852,324,0,8748,211259392
1.210402,building index: loading tuples,1852,370,0,10006,213643264
1.374766,building index: loading tuples,1852,413,0,11173,215314432
1.547726,building index: loading tuples,1852,460,0,12441,216408064
1.724691,building index: loading tuples,1852,507,0,13711,217346048
1.898367,building index: loading tuples,1852,551,0,14884,218570752
2.071291,building index: loading tuples,1852,595,0,16091,220397568
2.244099,building index: loading tuples,1852,639,0,17276,220864512
2.420617,building index: loading tuples,1852,682,0,18430,222531584
2.594105,building index: loading tuples,1852,723,0,19528,222523392
2.764415,building index: loading tuples,1852,763,0,20608,223883264
2.937106,building index: loading tuples,1852,802,0,21676,225165312
3.106328,building index: loading tuples,1852,843,0,22776,226439168
3.279843,building index: loading tuples,1852,883,0,23863,228605952
3.455357,building index: loading tuples,1852,923,0,24935,228311040
3.631899,building index: loading tuples,1852,962,0,25986,230072320
3.808088,building index: loading tuples,1852,1001,0,27045,230772736
3.985094,building index: loading tuples,1852,1040,0,28102,232017920
4.16384,building index: loading tuples,1852,1078,0,29117,233320448
4.337318,building index: loading tuples,1852,1116,0,30144,233500672
4.51221,building index: loading tuples,1852,1150,0,31076,234160128
4.682927,building index: loading tuples,1852,1183,0,31948,235646976
4.853947,building index: loading tuples,1852,1217,0,32875,236572672
5.020613,building index: loading tuples,1852,1250,0,33769,236920832
5.191218,building index: loading tuples,1852,1283,0,34659,238104576
5.353953,building index: loading tuples,1852,1318,0,35592,238641152
5.532622,building index: loading tuples,1852,1351,0,36486,239423488
5.702515,building index: loading tuples,1852,1387,0,37451,240701440
5.872663,building index: loading tuples,1852,1422,0,38394,241631232
6.052468,building index: loading tuples,1852,1456,0,39335,242933760
6.226099,building index: loading tuples,1852,1492,0,40303,243867648
6.403014,building index: loading tuples,1852,1528,0,41267,244756480
6.586242,building index: loading tuples,1852,1561,0,42158,245207040
6.761983,building index: loading tuples,1852,1595,0,43083,245882880
6.933175,building index: loading tuples,1852,1627,0,43933,246861824
7.106903,building index: loading tuples,1852,1661,0,44853,247738368
7.280143,building index: loading tuples,1852,1695,0,45777,249040896
7.454818,building index: loading tuples,1852,1727,0,46646,250273792
7.631041,building index: loading tuples,1852,1760,0,47546,249974784
7.805311,building index: loading tuples,1852,1794,0,48456,251482112
7.983943,building index: loading tuples,1852,1828,0,49381,252133376
8.159967,building index: loading tuples,1852,1852,0,50000,261672960
