elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.002182,building index: loading tuples in memory,1852,1,0,44,188190720
0.173087,building index: loading tuples in memory,1852,65,0,1778,187457536
0.331479,building index: loading tuples in memory,1852,116,0,3139,188723200
0.492254,building index: loading tuples in memory,1852,167,0,4513,190910464
0.656301,building index: loading tuples in memory,1852,216,0,5833,191152128
0.823852,building index: loading tuples in memory,1852,263,0,7104,192401408
0.99402,building index: loading tuples in memory,1852,310,0,8376,194338816
1.168011,building index: loading tuples in memory,1852,360,0,9722,195096576
1.341961,building index: loading tuples in memory,1852,409,0,11044,196284416
1.519092,building index: loading tuples in memory,1852,454,0,12281,197611520
1.689024,building index: loading tuples in memory,1852,500,0,13522,199364608
1.862793,building index: loading tuples in memory,1852,545,0,14722,199892992
2.039531,building index: loading tuples in memory,1852,590,0,15946,201621504
2.205215,building index: loading tuples in memory,1852,632,0,17085,202539008
2.37691,building index: loading tuples in memory,1852,675,0,18243,203575296
2.544534,building index: loading tuples in memory,1852,715,0,19321,205033472
2.718367,building index: loading tuples in memory,1852,757,0,20449,206409728
2.891711,building index: loading tuples in memory,1852,800,0,21602,207323136
3.062283,building index: loading tuples in memory,1852,838,0,22633,209190912
3.232292,building index: loading tuples in memory,1852,877,0,23690,208867328
3.397783,building index: loading tuples in memory,1852,914,0,24695,210100224
3.575172,building index: loading tuples in memory,1852,955,0,25785,210907136
3.752291,building index: loading tuples in memory,1852,992,0,26803,212406272
3.917711,building index: loading tuples in memory,1852,1028,0,27764,212320256
4.093045,building index: loading tuples in memory,1852,1062,0,28699,213430272
4.264947,building index: loading tuples in memory,1852,1098,0,29652,214528000
4.428958,building index: loading tuples in memory,1852,1132,0,30565,215535616
4.595583,building index: loading tuples in memory,1852,1167,0,31527,216178688
4.769805,building index: loading tuples in memory,1852,1204,0,32514,218202112
4.945575,building index: loading tuples in memory,1852,1239,0,33478,218411008
5.12141,building index: loading tuples in memory,1852,1275,0,34446,219451392
5.295623,building index: loading tuples in memory,1852,1312,0,35427,220618752
5.464401,building index: loading tuples in memory,1852,1346,0,36356,221638656
5.640079,building index: loading tuples in memory,1852,1383,0,37353,221974528
5.812301,building index: loading tuples in memory,1852,1417,0,38276,223203328
5.983373,building index: loading tuples in memory,1852,1451,0,39181,224223232
6.156585,building index: loading tuples in memory,1852,1485,0,40110,224899072
6.328912,building index: loading tuples in memory,1852,1520,0,41053,225599488
6.502384,building index: loading tuples in memory,1852,1552,0,41917,226566144
6.673291,building index: loading tuples in memory,1852,1585,0,42814,227409920
6.839148,building index: loading tuples in memory,1852,1618,0,43703,230719488
7.009901,building index: loading tuples in memory,1852,1651,0,44602,229634048
7.178907,building index: loading tuples in memory,1852,1683,0,45461,231030784
7.3451,building index: loading tuples in memory,1852,1715,0,46330,231055360
7.507971,building index: loading tuples in memory,1852,1747,0,47171,232005632
7.684009,building index: loading tuples in memory,1852,1779,0,48056,232587264
7.856973,building index: loading tuples in memory,1852,1813,0,48953,234033152
8.028913,building index: loading tuples in memory,1852,1844,0,49806,234647552
