elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.00597,building index: loading tuples in memory,0,0,0,0,120741888
0.321478,building index: loading tuples in memory,1852,76,0,2100,370757632
0.707971,building index: loading tuples in memory,1852,137,0,3725,370884608
1.094882,building index: loading tuples in memory,1852,192,0,5208,370544640
1.455844,building index: loading tuples in memory,1852,240,0,6522,370421760
1.80629,building index: loading tuples in memory,1852,290,0,7801,370507776
2.14638,building index: loading tuples in memory,1852,335,0,9044,370556928
2.480228,building index: loading tuples in memory,1852,377,0,10231,370704384
2.802283,building index: loading tuples in memory,1852,422,0,11389,371105792
3.144892,building index: loading tuples in memory,1852,459,0,12386,370671616
3.535184,building index: loading tuples in memory,1852,502,0,13508,370970624
3.888503,building index: loading tuples in memory,1852,539,0,14613,371003392
4.227733,building index: loading tuples in memory,1852,574,0,15471,370667520
4.604656,building index: loading tuples in memory,1852,607,0,16372,370876416
4.946394,building index: loading tuples in memory,1852,647,0,17456,371068928
5.272179,building index: loading tuples in memory,1852,681,0,18412,370855936
5.615174,building index: loading tuples in memory,1852,717,0,19367,371015680
5.955033,building index: loading tuples in memory,1852,756,0,20387,371019776
6.294476,building index: loading tuples in memory,1852,792,0,21379,370733056
6.629828,building index: loading tuples in memory,1852,829,0,22365,370761728
6.961694,building index: loading tuples in memory,1852,864,0,23334,370716672
7.294651,building index: loading tuples in memory,1852,900,0,24298,372686848
7.629608,building index: loading tuples in memory,1852,933,0,25221,370790400
7.987487,building index: loading tuples in memory,1852,971,0,26218,371150848
8.626519,building index: loading tuples in memory,1852,999,0,26981,370839552
9.013571,building index: loading tuples in memory,1852,1033,0,27878,371236864
9.356212,building index: loading tuples in memory,1852,1059,0,28613,371277824
9.883433,building index: loading tuples in memory,1852,1086,0,29324,370892800
10.26304,building index: loading tuples in memory,1852,1110,0,29969,370860032
10.954974,building index: loading tuples in memory,1852,1137,0,30703,371306496
11.371986,building index: loading tuples in memory,1852,1163,0,31428,370601984
11.886862,building index: loading tuples in memory,1852,1186,0,32003,371105792
12.356575,building index: loading tuples in memory,1852,1212,0,32747,371216384
12.863826,building index: loading tuples in memory,1852,1233,0,33302,371187712
13.421339,building index: loading tuples in memory,1852,1258,0,33955,370872320
14.038669,building index: loading tuples in memory,1852,1284,0,34675,370728960
14.4897,building index: loading tuples in memory,1852,1312,0,35428,370810880
15.089677,building index: loading tuples in memory,1852,1336,0,36126,370720768
15.568942,building index: loading tuples in memory,1852,1362,0,36783,371195904
16.039907,building index: loading tuples in memory,1852,1384,0,37399,373243904
16.488024,building index: loading tuples in memory,1852,1411,0,38115,371126272
16.904932,building index: loading tuples in memory,1852,1437,0,38824,371044352
17.287945,building index: loading tuples in memory,1852,1468,0,39637,371204096
17.691237,building index: loading tuples in memory,1852,1496,0,40375,370958336
18.123399,building index: loading tuples in memory,1852,1519,0,41082,370753536
18.561287,building index: loading tuples in memory,1852,1547,0,41790,370991104
19.04387,building index: loading tuples in memory,1852,1569,0,42378,371351552
19.507396,building index: loading tuples in memory,1852,1593,0,43062,372498432
20.143497,building index: loading tuples in memory,1852,1623,0,43862,371027968
20.636852,building index: loading tuples in memory,1852,1651,0,44578,371208192
21.068757,building index: loading tuples in memory,1852,1676,0,45219,370753536
21.469825,building index: loading tuples in memory,1852,1700,0,45972,370548736
21.847254,building index: loading tuples in memory,1852,1727,0,46680,372359168
22.228154,building index: loading tuples in memory,1852,1755,0,47425,370917376
22.628492,building index: loading tuples in memory,1852,1785,0,48155,371036160
23.022995,building index: loading tuples in memory,1852,1812,0,48914,371240960
23.413254,building index: loading tuples in memory,1852,1836,0,49591,370978816
23.823786,building index: flushing in-memory graph,1852,1852,0,49997,424923136
