elapsed_seconds,phase,blocks_total,blocks_done,tuples_total,tuples_done,container_memory_bytes
0.005238,building index: loading tuples in memory,0,0,0,0,198041600
0.293232,building index: loading tuples in memory,1852,76,0,2025,455172096
0.691052,building index: loading tuples in memory,1852,142,0,3845,455389184
1.056896,building index: loading tuples in memory,1852,197,0,5352,455356416
1.401818,building index: loading tuples in memory,1852,255,0,6849,455315456
1.737576,building index: loading tuples in memory,1852,291,0,7852,455741440
2.1268,building index: loading tuples in memory,1852,329,0,8916,455409664
2.508539,building index: loading tuples in memory,1852,372,0,10074,455434240
2.84474,building index: loading tuples in memory,1852,414,0,11207,455827456
3.181177,building index: loading tuples in memory,1852,460,0,12413,455397376
3.503225,building index: loading tuples in memory,1852,503,0,13556,455462912
3.827618,building index: loading tuples in memory,1852,543,0,14689,455655424
4.137024,building index: loading tuples in memory,1852,585,0,15789,455737344
4.488809,building index: loading tuples in memory,1852,609,0,16474,455954432
4.863642,building index: loading tuples in memory,1852,651,0,17578,455794688
5.181479,building index: loading tuples in memory,1852,690,0,18624,455684096
5.491212,building index: loading tuples in memory,1852,727,0,19694,455749632
5.824637,building index: loading tuples in memory,1852,767,0,20723,455528448
6.141119,building index: loading tuples in memory,1852,805,0,21794,455802880
6.462851,building index: loading tuples in memory,1852,846,0,22835,455929856
6.796266,building index: loading tuples in memory,1852,882,0,23825,455372800
7.121273,building index: loading tuples in memory,1852,921,0,24864,455000064
7.473053,building index: loading tuples in memory,1852,955,0,25808,455430144
7.804696,building index: loading tuples in memory,1852,992,0,26761,455933952
8.135002,building index: loading tuples in memory,1852,1025,0,27714,455319552
8.455154,building index: loading tuples in memory,1852,1061,0,28656,455573504
8.76978,building index: loading tuples in memory,1852,1098,0,29625,455479296
9.097224,building index: loading tuples in memory,1852,1129,0,30484,455569408
9.395677,building index: loading tuples in memory,1852,1160,0,31344,455507968
9.742123,building index: loading tuples in memory,1852,1196,0,32314,455761920
10.096399,building index: loading tuples in memory,1852,1232,0,33247,455389184
10.924686,building index: loading tuples in memory,1852,1252,0,33855,455876608
11.339967,building index: loading tuples in memory,1852,1286,0,34709,455843840
11.704411,building index: loading tuples in memory,1852,1314,0,35499,455806976
12.119288,building index: loading tuples in memory,1852,1347,0,36342,455876608
12.462863,building index: loading tuples in memory,1852,1377,0,37212,455540736
13.10367,building index: loading tuples in memory,1852,1408,0,38043,455507968
13.448106,building index: loading tuples in memory,1852,1441,0,38950,455172096
13.780788,building index: loading tuples in memory,1852,1474,0,39846,455602176
14.10354,building index: loading tuples in memory,1852,1507,0,40724,455749632
14.423794,building index: loading tuples in memory,1852,1543,0,41650,455716864
14.754653,building index: loading tuples in memory,1852,1577,0,42592,455454720
15.273034,building index: loading tuples in memory,1852,1611,0,43525,455819264
15.587584,building index: loading tuples in memory,1852,1645,0,44442,455262208
15.903927,building index: loading tuples in memory,1852,1674,0,45256,457461760
16.23621,building index: loading tuples in memory,1852,1710,0,46155,455331840
16.566318,building index: loading tuples in memory,1852,1743,0,47062,456060928
16.872317,building index: loading tuples in memory,1852,1775,0,47921,455651328
17.182902,building index: loading tuples in memory,1852,1808,0,48808,455770112
17.50423,building index: loading tuples in memory,1852,1844,0,49748,455704576
17.829539,building index: flushing in-memory graph,1852,1852,0,49980,509612032
